create_Time,ticker,count
12/5/2020,JWN,1
12/5/2020,PRPL,1
12/5/2020,RC,1
12/5/2020,REAL,1
12/6/2020,GME,9
12/6/2020,PLTR,9
12/6/2020,ABNB,6
12/6/2020,ATSG,6
12/6/2020,HYLN,2
12/6/2020,PRE,2
12/6/2020,UBER,2
12/6/2020,DIS,2
12/6/2020,CB,2
12/6/2020,BKNG,2
12/6/2020,TSLA,1
12/6/2020,PM,1
12/6/2020,OR,1
12/6/2020,AKA,1
12/6/2020,AMZN,1
12/6/2020,C,1
12/6/2020,DM,1
12/6/2020,EDIT,1
12/6/2020,INTC,1
12/6/2020,IT,1
12/6/2020,LOVE,1
12/7/2020,SNOW,64
12/7/2020,PLTR,27
12/7/2020,TSLA,13
12/7/2020,SPCE,7
12/7/2020,GME,5
12/7/2020,ZM,4
12/7/2020,CSCO,3
12/7/2020,ABCL,2
12/7/2020,NKLA,2
12/7/2020,ASH,1
12/7/2020,BOOM,1
12/7/2020,CUZ,1
12/7/2020,DO,1
12/7/2020,MGM,1
12/7/2020,PM,1
12/7/2020,SPLK,1
12/7/2020,ALL,1
12/8/2020,GME,27
12/8/2020,PLTR,13
12/8/2020,PTON,4
12/8/2020,TSLA,4
12/8/2020,SNOW,3
12/8/2020,RKT,3
12/8/2020,CAN,1
12/8/2020,ARE,1
12/8/2020,BB,1
12/8/2020,MC,1
12/8/2020,ME,1
12/8/2020,MRNA,1
12/8/2020,NOK,1
12/8/2020,SPCE,1
12/8/2020,TD,1
12/8/2020,WE,1
12/9/2020,TSLA,26
12/9/2020,GME,16
12/9/2020,JPM,8
12/9/2020,ABB,3
12/9/2020,PLTR,3
12/9/2020,BCRX,2
12/9/2020,QS,2
12/9/2020,ABNB,1
12/9/2020,AMZN,1
12/9/2020,C,1
12/9/2020,CCL,1
12/9/2020,CBD,1
12/9/2020,ETSY,1
12/9/2020,GLSI,1
12/9/2020,HAE,1
12/9/2020,HOUR,1
12/9/2020,MAX,1
